61J,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout 1st Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242B,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Seegehalli Gate,Hamsa Farm,Channenahalli Arch,Channenahalli,Honaganahatti,Channadasipalya,Lakkuppe,Ganesha Temple Tavarekere,Tavarekere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243D,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Herohalli Cross,Anjananagara,East West College Cross,Thunganagara Cross,Thunga Nagara,Venkateshwara Layout,Syndicate Bank Layout,Acharya College,Vidyamanyanagara,Andhrahalli,Andhrahalli Govt School,Anjaneya Temple Thigalarapalya,Garudappa Circle Thigalarapalya,Thigalarapalya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243J,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Bharath Nagara 1st Phase,Gidadakonenahalli Cross,Muddayanapalya Junction,Muddinapalya,Upkar Residency Layout,Bhavani Nagara 2nd Stage Cross,RTO Office Vishweshwaraiah Layout,Bhavani Nagara 2nd Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243L,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Herohalli Sunkadakatte,Venkateshwara Layout,Syndicate Bank Layout,Arch Lingadeeranahalli,Lingadeeranahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Dhobi Ghat Rajajinagara,Dhobi Ghat Rajajinagara,Industrial Town Rajajinagara,Dasarahalli Kere,Havanur Circle,Basaveshwaranagara New Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96A,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Dhobi Ghat Rajajinagara,Dhobi Ghat Rajajinagara,Industrial Town Rajajinagara,Dasarahalli Kere,Havanur Circle,8th Main Kamalanagara,Water Tank Kamalanagara,Shankar Mutt,Modi Hospital,Navarang Theatre,Mariyappanapalya,Harishchandra Ghat,Devaiah Park,Malleshwara Circle,Link Road,Central,Kempegowda Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96B,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Dhobi Ghat Rajajinagara,Industrial Town Rajajinagara,Dasarahalli Kere,Havanur Circle,Basaveshwaranagara New Bus Stand,Sharada Colony,Kamalanagara,Kamalanagara BEML Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96E,Kempegowda Bus Station,Ananda Rao Circle,Swastik Sheshadripuram College,Central,Malleshwara Circle,Devaiah Park,Harishchandra Ghat,Mariyappanapalya,Navarang Theatre,Modi Hospital,Shankar Mutt,Kamalanagara Water Tank,8th Main Kamalanagara,Sharada Colony,Kamalanagara,Kamalanagara BEML Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96G,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Devaiah Park,Harishchandra Ghat,Mariyappanapalya,Navarang Theatre,Modi Hospital,Shankar Mutt,Kamalanagara Water Tank,Maruthi Temple Kamalanagara,Gudde Devastana Kamalanagara,Kamalanagara Market,Kamalanagara,Shankarnagh Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Kempegowda Bus Station,Central,Malleshwara Circle,Devaiah Park,Harishchandra Ghat,Mariyappanapalya,Navarang Theatre,Modi Hospital,Shankar Mutt,Kamalanagara Water Tank,8th Main Kamalanagara,Havanur Circle,Dasarahalli Kere,Dasarahalli Kere,Industrial Town Rajajinagara,Dhobi Ghat Rajajinagara,Dhobi Ghat Rajajinagara,Bashyam Circle Rajajinagara,Rajajinagara Entrance,Sujatha Talkies,Okalipura,Kempegowda Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89C,Kempegowda Bus Station,Ananda Rao Circle,Swastik Sheshadripuram College,Central,Malleshwara Circle,Devaiah Park,Harishchandra Ghat,Mariyappanapalya,Navarang Theatre,Modi Hospital,Shankar Mutt,Kurubarahalli,Cauvery Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89D,Kempegowda Bus Station,Ananda Rao Circle,Swastik Sheshadripuram College,Central,Malleshwara Circle,Devaiah Park,Harishchandra Ghat,Mariyappanapalya,Navarang Theatre,Modi Hospital,Shankar Mutt,Kurubarahalli,JC Nagara Kurubarahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Rajajinagara 2nd Block,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalaskhmi Layout,Mahalakshmi Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252F,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Rajajinagara 2nd Block,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,1st Block Rajajinagara,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Shankara Nagara,Krishnananda Nagara,Kanteerava Studio,Ramanjaneya Temple Nandhini Layout,Sonal Garments Laggere Cross,Laggere Cross,Rajagopala Nagara Police Station,TVS Cross Peenya,Rolling Mill,NTTF Peenya,Brundavana Peenya,Peenya 14th cross,Rajagopalanagara,Peenya 2nd Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252H,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Rajajinagara 2nd Block,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Shankara Nagara,Krishnananda Nagara,Kanteerava Studio,Ramanjaneya Temple Nandhini Layout,Sonal Garments Laggere Cross,Laggere Cross,MEI Colony Laggere,Parvathi Nagara,Aladamara Laggere,Laggere New Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,1st Block Rajajinagara,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalaskhmi Layout,Saraswathipuram,Nandini Layout Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80B,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Rajajinagara 2nd Block,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalaskhmi Layout,Saraswathipuram,Nandini Layout Police Station,Nandini Layout Bus Stand,SSVB Bakery Kanteerava Studio,Jai Maruthi Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80E,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Rajajinagara Entrance,Bashyam Circle Rajajinagara,Rajajinagara Old Police Station,ESI Hospital Rajajinagara,Basaveshwara College,Navarang Theatre,Canara Bank Rajajinagara 1st Block,Diacon Hospital,Mahalakshmi Layout Entrance,Shrinivasa Temple,Ganesha Temple Mahalakshmi Layout,Mahalakshmi Layout,Shankara Nagara,Krishnananda Nagara,2nd Stage Kanteeravanagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
