61J,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout 1st Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286AA,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,Bank Amruthahalli,Amruthahalli,Jakkur Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288D,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,SanjeeviniNagara,Sterling Apartment,Maruthi Nagara,Kodigehalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288H,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,SanjeeviniNagara,Sterling Apartment,Maruthi Nagara,Kodigehalli,Railway Gate Kodigehalli,Virupakshapura,Tennis Court Thindlu,Thindlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,KR Pura Market,KR Pura Extension,KR Pura Market,Krishnaraja Pura Govt Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304Z,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,KR Pura Railway Station,B Narayanapura,Mahadevapura,Singaianapalya Phoenix,Garudacharpalya,Brook Steel ESI,Hoodi,Rajapalya,Prestige Shantiniketana /Manipal Hospital,Big Bazzar ITPL,Pattandur Agrahara Gate,ITPL,GR Tech Park ITPL,BPL,Hope Farm,MVJ College Channasandra,Channasandra,Thirumalashettyhalli  Cross,Samethanahalli,Bhodhana Hosahalli,Dodda Dunnasandra,Dodda Dunnasandra Cross,Anugondanahalli Cross,Obalapura Gate,Medi Mallasandra,Mata Mallasandra,Arehalli Cross,Kalkunte Agrahara,Shiva Ittige Factory,Yettu Kodi,Ganagaluru Cross,Anche Muskuru,Chikka Thirupathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305D,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,KR Pura Railway Station,B Narayanapura,Mahadevapura,Singaianapalya Phoenix,Garudacharpalya,Brook Steel ESI,Hoodi,Rajapalya,Prestige Shantiniketana /Manipal Hospital,Big Bazzar ITPL,Pattandur Agrahara Gate,ITPL,GR Tech Park ITPL,BPL,Hope Farm,MVJ College Channasandra,Channasandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305S,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,KR Pura Railway Station,B Narayanapura,Mahadevapura,Singaianapalya Phoenix,Garudacharpalya,Brook Steel ESI,Hoodi,Rajapalya,Prestige Shantiniketana /Manipal Hospital,Big Bazzar ITPL,Pattandur Agrahara Gate,ITPL,GR Tech Park ITPL,BPL,Hope Farm,MVJ College Channasandra,Channasandra,Thirumalashettyhalli Cross,Soukya Hospital Junction,Koraluru Railway Gate,Koraluru,Mallasandra,Naduvatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315MF,Kempegowda Bus Station,Maharani College,Vidhana Soudha Karnataka High Court,GPO,Raj Bhavan,Maniksha Parade Ground,Manipal Centre MG Road,Gurudwara/Lido,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,Krishnaraja Pura Govt Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316B,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,Krishnaraja Pura Govt Hospital,KR Pura Market,KR Pura Extension,TC Palya  Gate Hosakote Road,Bhattarahalli,SJES College,Medahalli,Cipla Avalahalli,Avalahalli Hosakote,Cheemasandra Gate,Bandapura Gate,Budigere Cross,SKF Factory,Grandwell,New Baldwin International School,Premium Farm Mandur,Mandur,Gnana Jyothi school,Hancharahalli Gate,Kattu Gollahalli Gate,Singarapura,Jyothipura Gate,Thirumenahalli Gate,Andhrahalli Gate,Hittarahalli Gate,Budigere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316F,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,Krishnaraja Pura Govt Hospital,KR Pura Market,KR Pura Extension,TC Palya  Gate Hosakote Road,Bhattarahalli,SJES College,Medahalli,Cipla Avalahalli,Avalahalli Hosakote,Cheemasandra Gate,Cheemasandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,Krishnaraja Pura Govt Hospital,KR Pura Market,KR Pura Extension,TC Palya  Gate Hosakote Road,Bhattarahalli,SJES College,Medahalli,Cipla Avalahalli,Avalahalli Hosakote,Cheemasandra Gate,Bandapura Gate,Budigere Cross,Sapthagiri Convention Hall,Katamanallur Gate,Hosakote Kodi,Hosakote Toll (Volvo),Hosakote High School,Hosakote BEO office,Hosakote Flower Market,Hosakote Bus Stand (Old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-317A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,Krishnaraja Pura Govt Hospital,KR Pura Market,KR Pura Extension,TC Palya  Gate Hosakote Road,Bhattarahalli,SJES College,Medahalli,Cipla Avalahalli,Avalahalli Hosakote,Cheemasandra Gate,Bandapura Gate,Budigere Cross,Sapthagiri Convention Hall,Katamanallur Gate,Hosakote Kodi,Hosakote Toll (Volvo),Hosakote High School,Hosakote BEO office,Hosakote Flower Market,Hosakote Bus Stand (Old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS12HK,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,ITI Colony Gate,Krishnaraja Pura Govt Hospital,KR Pura Market,KR Pura Extension,TC Palya  Gate Hosakote Road,Bhattarahalli,SJES College,Medahalli,Cipla Avalahalli,Avalahalli Hosakote,Cheemasandra Gate,Bandapura Gate,Budigere Cross,Sapthagiri Convention Hall,Katamanallur Gate,Hosakote Kodi,Hosakote Toll,Hosakote High School,Hosakote BEO office,Hosakote Flower Market,Hosakote Bus Stand (Old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS13K,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Lido Talkies,Philips Millenium Halasuru,Halasuru,Depot-06 Gate,Binnamangala,Swamy Vivekananda Metro Station/Isolation Hospital,NGEF,Bayyappanahalli Metro Station,Benniganahalli,Tin Factory,KR Pura Railway Station,B Narayanapura,Mahadevapura,Singaianapalya Phoenix,Garudacharpalya,Brook Steel ESI,Hoodi,Rajapalya,Prestige Shantiniketana /Manipal Hospital,Big Bazzar ITPL,Pattandur Agrahara Gate,ITPL,GR Tech Park ITPL,BPL,Hope Farm,Kadugodi Bridge,Kadugodi Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh West Gate (Lalbagh Metro Station),R V Teachers College,Vijaya College,South End Circle,Nanda Talkies,Jayanagar 6 block,National college,Sangam Circle,Banashankari Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15E,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Tata Silk Farm,MM Industries,Shastri Bakery,Monotype Corporation,Kaveri Nagara,Yarab Nagara,Kadirenahalli Cross,Dayananda Sagar College,Kumaraswamy Layout Police Station,Kumaraswamy Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15G,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Tata Silk Farm,MM Industries,Shastri Bakery,Monotype Corporation,Kaveri Nagara,Yarab Nagara,Kadirenahalli Cross,Dayananda Sagar College,Water Tank,Kumaraswamy Layout 2nd Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Tata Silk Farm,MM Industries,Shastri Bakery,Monotype Corporation,Kaveri Nagara,Yarab Nagara,Kadirenahalli Cross,Dayananda Sagar College,Kumaraswamy Layout Police Station,Kumaraswamy Layout,West Cross Kumaraswamy Layout,ISRO Layout,Bikashipura,Pipeline Vasanthapura,ISKCON Temple Maruthinagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210AA,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Tata Silk Farm,MM Industries,Shastri Bakery,Banashankari Hunasemara,Banashankari Bus Station,Kadirenahalli Cross,Dayananda Sagar College,Kumaraswamy Layout Police Station,Kumaraswamy Layout,West Cross Kumaraswamy Layout,ISRO Layout,Bikashipura,Pipeline Vasanthapura,ISKCON Temple Maruthinagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210E,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Basappa Circle,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Gunasheela Hospital,South End Circle,Nanda Talkies,Yadiyuru,Deepak Nursing Home,Hunasemara,Banashankari Bus Station,Kadirenahalli Cross,Kadirenahalli Village,Prarthana School,Gowdanapalya,Chikkallasandra Aralimara,Chikkallasandra Bank Colony,KR Hospital Uttarahalli,Uttarahalli Bus Stand,Subramanyapura Police Station,Subramanyapura Post Office,Subramanyapura KEB,Yadalam Nagara,Vasanthapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210R,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Tata Silk Farm,MM Industries,Shastri Bakery,Monotype Corporation,Kaveri Nagara,Yarab Nagara,Kadirenahalli Cross,Dayananda Sagar College,Kumaraswamy Layout Police Station,Kumaraswamy Layout,West Cross Kumaraswamy Layout,ISRO Layout,Bikashipura,Pipeline ISRO Layout,Vasanthapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215B,KR Market (Kalasipalya),Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Gunasheela Hospital,South End Circle,Nanda Talkies,Deepak Nursing Home,Hunasemara,Banashankari,Sarakki,JP Nagara Metro Station,Jaraganahalli Cross,Yalachenahalli,Metro,Konanakunte Cross,Konanakunte,Sowdamini Kalyana Mantapa,Hari Nagara Cross,Glass Factory,Avalahalli,Avalahalli BDA Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215N,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Town Hall,KR Market,Makkala Koota,Mahila Seva Samaja,National College,Basavanagudi Police Station,Gunasheela Hospital,South End Circle,Nanda Talkies,Yadiyuru,Deepak Nursing Home,Hunasemara,Banashankari,Sarakki,JP Nagara Metro Station,Jaraganahalli Cross,Yalachenahalli,Metro,Konanakunte Cross,Konanakunte,Sowdamini Kalyana Mantapa,Hari Nagara Cross,Glass Factory,Avalahalli,Nandi Garden Kothanur,Anjanapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238VM,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Jyothi Nagara,Nagarabhavi Circle,Manasa Nagara,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Muddinapalya Junction,KLE Society College Cross,KLE Society College,Upkar Layout Cross,Ullala Satellite Town Cross,Ullala Satelite Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242T,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Seegehalli Gate,Hamsa Farm,Channenahalli Arch,Channenahalli,Honaganahatti,Channadasipalya,Lakkuppe,Ganesha Temple Tavarekere,Tavarekere,BWSSB Tavarekere,Gangenahalli Cross,Jettipalya,Varthuru,B K Nagara Cross,Metipalya,Chowdeshwarinagara,Mallasandra,Gayathri Nagara Cross,Kerekodi Sondekoppa,Sondekoppa,High School Sondekoppa,Gerahalli,Hunnigere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250A,Kempegowda Bus Station,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Widia School,Bagalagunte,Bone Mill,Sapthagiri College,Sapthagiri Hospital,Janapriya Apartment,Chikkabanavara Railway Station,Chikka Banavara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250P,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Devaiah Park,Harishchandra Ghat,Mariyappanapalya,Navarang Theatre,Subramanyanagara Police Station,Vivekananda College,Govt Soap Factory,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Widia School,Bagalagunte,MEI Layout Arch,Bone Mill,Sapthagiri College,Sapthagiri Hospital,Janapriya Apartment,Chikkabanavara Railway Station,Chikka Banavara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,Systems Peenya,TVS Cross Peenya,Rolling Mill,NTTF Peenya,Brundavana Peenya,Peenya 14th cross,Rajagopalanagara,Peenya 2nd Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252E,Kempegowda Bus Station,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,Systems Peenya,TVS Cross Peenya,Rajagopala Nagara Police Station,Laggere Cross,MEI Colony Laggere,Parvathi Nagara,Aladamara Laggere,Laggere New Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253G,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Widia School,Bagalagunte,Bone Mill,Sapthagiri College,Sapthagiri Hospital,Janapriya Apartment,Chikkabanavara Railway Station,Chikka Banavara,Govt Primary School Chikkabhanavara,Dwaraka Nagara,Soladevanahalli Police Station,Tharabanahalli,Tharabanahalli Choultry,Kempaiahnagara,Thore Nagasandra Cross,Hurali Chikkanahalli,Thirumalapura,Hesaraghatta TB Cross,Hesaraghatta,Vinayaka Nagara Hesarghatta,Vivekananda Vidyavardhaka School,Dasenahalli Cross,Guddadahalli,Thotagere Basavanna Devastana,BGS PU College Thotagere,Chikka Kukkanahalli,Doddy,Kodihalli,Madhure Village,Kodipalya,Anjaneya Temple Madhure,Chikka Madhure,Kanasawadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253J,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Widia School,Bagalagunte,Bone Mill,Sapthagiri College,Sapthagiri Hospital,Janapriya Apartment,Chikkabanavara Railway Station,Chikka Banavara,Govt Primary School Chikkabhanavara,Dwaraka Nagara,Soladevanahalli Police Station,Tharabanahalli,Tharabanahalli Choultry,Thore Nagasandra Cross,Hurali Chikkanahalli,Thirumalapura,Hesaraghatta TB Cross,Hesaraghatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255D,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Deepak Factory,Widia Factory,Marison Factory,Chikkabidarakallu,Jindal,Anchepalya,Madavara,TCI,Madanayakanahalli,Makali,Depot-40 Gate,Makali Cross,Nisarga Layout,Biscuits Factory,Mantri Layout (M L A LAYOUT),The Golden Palm Resort Nagarur colony Nelamangala,Nagaruru Cross,Kodipalya,Vaderahalli Cross,APMC Yard,Mattahalli Cross,Pillahalli Cross,Chikka Veeraiahanapalya Cross,Huskur Cross,Huskur Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258C,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Deepak Factory,Widia Factory,Marison Factory,Chikkabidarakallu,Jindal,Anchepalya,Madavara,TCI,Madanayakanahalli,Makali,Depot-40 Gate,Adakimaranahalli,Ravuthanahalli Cross,Dasanapura,Devannanapalya,Arishinakunte,Vishwa Shanti Ashrama,Binnamangala Towads Nelamangala),Nursery Nelamangala,Weavers Colony Nelamangala,TB Nelamangala,Anjaneya Temple Nelamangala,Nelamangala Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258CC,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Navarang Bar,Navarang Theatre,Subramanyanagara Police Station,Vivekananda College,Govt Soap Factory,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Deepak Factory,Widia Factory,Marison Factory,Chikkabidarakallu,Jindal,Anchepalya,Madavara,TCI,Madanayakanahalli,Makali,Depot-40 Gate,Adakimaranahalli,Ravuthanahalli Cross,Dasanapura,Devannanapalya,Arishinakunte,Vishwa Shanti Ashrama,Binnamangala Towads Nelamangala),Nursery Nelamangala,Weavers Colony Nelamangala,TB Nelamangala,Anjaneya Temple Nelamangala,Nelamangala Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258DN,Yeshawanthapura Bus Station,Govardhan Talkies,RMC Yard (Yeshawanthapura New Railway Station),MEI Factory,Goraguntepalya,CMTI,SRS Peenya,Peenya Industry Metro Station,Jalahalli Cross,T Dasarahalli,8th Mile Dasarahalli,Deepak Factory,Widia Factory,Marison Factory,Chikkabidarakallu,Jindal,Anchepalya,Madavara,TCI,Madanayakanahalli,Makali,Depot-40 Gate,Adakimaranahalli,Ravuthanahalli Cross,Dasanapura,Devannanapalya,Arishinakunte,Vishwa Shanti Ashrama,Binnamangala Towads Nelamangala),Nursery Nelamangala,Weavers Colony Nelamangala,TB Nelamangala,Anjaneya Temple Nelamangala,Nelamangala Bus Station,Nelamangala Hunasemara,Tumkur Road Junction,Nelamangala Jass Toll,KBD Factory,Bommanahalli,Budihal Gate,Bhuvaneshwari Petrol Bunk,Thonachinakuppe,Pepsi Factory,T Begur,Thalaker Cross,Thippagondanahalli Tumkur Road,Dodderi Tumkur Road,Kuluvanahalli Tumakur Road,Mahimapura Temple,Indiranagar Grama,Kere Kattiganuru,Gundenahalli,Billinakote,Hosahalli Gate (Rathnam Hotel),Kengal Kempohalli,Yadehalli Dabaspete,Sompura Tumakur Road,MV Solar Dabaspete Industrial Area,Dabaspete,,,,,,,,,,,,,,,,,,,,,,,,
